,breed,animal_type,date,ave_hsIncome,breed_cumsum,cum_mean
0,Cairn Terrier Mix,Dog,By Feb-28-2019,38206.0,1,38206.0
2,Cairn Terrier Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Cairn Terrier/Dachshund Wirehair,Dog,By Jan-31-2019,0.0,0,0.0
0,Cairn Terrier/Dachshund Wirehair,Dog,By Feb-28-2019,38256.0,1,38256.0
2,Cairn Terrier/Dachshund Wirehair,Dog,By Mar-31-2019,0.0,0,0.0
0,Catahoula Mix,Dog,By Jan-31-2019,38256.0,1,38256.0
1,Catahoula Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Catahoula Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Cavalier Span,Dog,By Jan-31-2019,23348.0,1,23348.0
1,Cavalier Span,Dog,By Feb-28-2019,0.0,0,0.0
2,Cavalier Span,Dog,By Mar-31-2019,0.0,0,0.0
1,Chesa Bay Retr/Pit Bull,Dog,By Jan-31-2019,0.0,0,0.0
0,Chesa Bay Retr/Pit Bull,Dog,By Feb-28-2019,23348.0,1,23348.0
2,Chesa Bay Retr/Pit Bull,Dog,By Mar-31-2019,0.0,0,0.0
0,Chihuahua Longhair Mix,Dog,By Jan-31-2019,23348.0,1,23348.0
1,Chihuahua Longhair Mix,Dog,By Feb-28-2019,23348.0,2,23348.0
2,Chihuahua Longhair Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Chihuahua Shorthair,Dog,By Jan-31-2019,30207.0,1,30207.0
1,Chihuahua Shorthair,Dog,By Feb-28-2019,0.0,0,0.0
2,Chihuahua Shorthair,Dog,By Mar-31-2019,0.0,0,0.0
0,Chihuahua Shorthair Mix,Dog,By Jan-31-2019,36641.0,10,40294.0
1,Chihuahua Shorthair Mix,Dog,By Feb-28-2019,36978.0,14,36661.0
2,Chihuahua Shorthair Mix,Dog,By Mar-31-2019,60861.0,16,37342.0
1,Chihuahua Shorthair/Dachshund,Dog,By Jan-31-2019,0.0,0,0.0
0,Chihuahua Shorthair/Dachshund,Dog,By Feb-28-2019,36480.0,2,30924.0
2,Chihuahua Shorthair/Dachshund,Dog,By Mar-31-2019,0.0,0,0.0
0,Chinese Sharpei Mix,Dog,By Jan-31-2019,23348.0,1,23348.0
1,Chinese Sharpei Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Chinese Sharpei Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Cocker Spaniel,Dog,By Jan-31-2019,38206.0,1,38206.0
1,Cocker Spaniel,Dog,By Feb-28-2019,0.0,0,0.0
2,Cocker Spaniel,Dog,By Mar-31-2019,0.0,0,0.0
0,Coyote,Other,By Jan-31-2019,38256.0,1,38256.0
1,Coyote,Other,By Feb-28-2019,0.0,0,0.0
2,Coyote,Other,By Mar-31-2019,0.0,0,0.0
0,Dachshund Mix,Dog,By Jan-31-2019,38256.0,6,39387.0
1,Dachshund Mix,Dog,By Feb-28-2019,36480.0,10,38224.0
2,Dachshund Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Dachshund Wirehair Mix,Dog,By Jan-31-2019,0.0,0,0.0
0,Dachshund Wirehair Mix,Dog,By Feb-28-2019,36978.0,1,36978.0
2,Dachshund Wirehair Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Domestic Longhair Mix,Cat,By Jan-31-2019,0.0,0,0.0
0,Domestic Longhair Mix,Cat,By Feb-28-2019,23348.0,2,33403.0
2,Domestic Longhair Mix,Cat,By Mar-31-2019,0.0,0,0.0
0,Domestic Medium Hair Mix,Cat,By Jan-31-2019,43458.0,1,43458.0
1,Domestic Medium Hair Mix,Cat,By Feb-28-2019,0.0,0,0.0
2,Domestic Medium Hair Mix,Cat,By Mar-31-2019,0.0,0,0.0
0,Domestic Shorthair,Cat,By Jan-31-2019,61284.0,1,61284.0
1,Domestic Shorthair,Cat,By Feb-28-2019,0.0,0,0.0
2,Domestic Shorthair,Cat,By Mar-31-2019,0.0,0,0.0
0,Domestic Shorthair Mix,Cat,By Jan-31-2019,38256.0,20,39228.0
1,Domestic Shorthair Mix,Cat,By Feb-28-2019,38206.0,41,39597.0
2,Domestic Shorthair Mix,Cat,By Mar-31-2019,0.0,0,0.0
1,Domestic Shorthair/Bengal,Cat,By Jan-31-2019,0.0,0,0.0
0,Domestic Shorthair/Bengal,Cat,By Feb-28-2019,23348.0,1,23348.0
2,Domestic Shorthair/Bengal,Cat,By Mar-31-2019,0.0,0,0.0
0,Duck Mix,Bird,By Jan-31-2019,59497.0,1,59497.0
1,Duck Mix,Bird,By Feb-28-2019,0.0,0,0.0
2,Duck Mix,Bird,By Mar-31-2019,0.0,0,0.0
1,Fox,Other,By Jan-31-2019,0.0,0,0.0
2,Fox,Other,By Feb-28-2019,0.0,0,0.0
0,Fox,Other,By Mar-31-2019,128524.0,1,128524.0
0,German Shepherd,Dog,By Jan-31-2019,23348.0,2,23348.0
1,German Shepherd,Dog,By Feb-28-2019,23348.0,4,23348.0
2,German Shepherd,Dog,By Mar-31-2019,0.0,0,0.0
0,German Shepherd Mix,Dog,By Jan-31-2019,36480.0,2,36480.0
1,German Shepherd Mix,Dog,By Feb-28-2019,34242.0,5,36410.0
2,German Shepherd Mix,Dog,By Mar-31-2019,34242.0,6,36048.0
0,German Shepherd/Great Pyrenees,Dog,By Jan-31-2019,26646.0,1,26646.0
1,German Shepherd/Great Pyrenees,Dog,By Feb-28-2019,0.0,0,0.0
2,German Shepherd/Great Pyrenees,Dog,By Mar-31-2019,0.0,0,0.0
0,Golden Retriever Mix,Dog,By Jan-31-2019,57710.0,2,72370.0
1,Golden Retriever Mix,Dog,By Feb-28-2019,62648.0,3,69129.0
2,Golden Retriever Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Golden Retriever/Irish Setter,Dog,By Jan-31-2019,0.0,0,0.0
0,Golden Retriever/Irish Setter,Dog,By Feb-28-2019,29779.0,1,29779.0
2,Golden Retriever/Irish Setter,Dog,By Mar-31-2019,0.0,0,0.0
1,Great Pyrenees/Chow Chow,Dog,By Jan-31-2019,0.0,0,0.0
0,Great Pyrenees/Chow Chow,Dog,By Feb-28-2019,23348.0,1,23348.0
2,Great Pyrenees/Chow Chow,Dog,By Mar-31-2019,0.0,0,0.0
0,Hamster,Other,By Jan-31-2019,38256.0,1,38256.0
1,Hamster,Other,By Feb-28-2019,0.0,0,0.0
2,Hamster,Other,By Mar-31-2019,0.0,0,0.0
1,Irish Wolfhound Mix,Dog,By Jan-31-2019,0.0,0,0.0
0,Irish Wolfhound Mix,Dog,By Feb-28-2019,38256.0,1,38256.0
2,Irish Wolfhound Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Jack Russell Terrier Mix,Dog,By Jan-31-2019,0.0,0,0.0
0,Jack Russell Terrier Mix,Dog,By Feb-28-2019,23348.0,1,23348.0
2,Jack Russell Terrier Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Labrador Retriever Mix,Dog,By Jan-31-2019,36480.0,19,39560.0
1,Labrador Retriever Mix,Dog,By Feb-28-2019,23348.0,21,38974.0
2,Labrador Retriever Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Labrador Retriever/Beagle,Dog,By Jan-31-2019,0.0,0,0.0
0,Labrador Retriever/Beagle,Dog,By Feb-28-2019,23348.0,1,23348.0
2,Labrador Retriever/Beagle,Dog,By Mar-31-2019,0.0,0,0.0
1,Labrador Retriever/Great Pyrenees,Dog,By Jan-31-2019,0.0,0,0.0
0,Labrador Retriever/Great Pyrenees,Dog,By Feb-28-2019,30207.0,1,30207.0
2,Labrador Retriever/Great Pyrenees,Dog,By Mar-31-2019,0.0,0,0.0
1,Lhasa Apso Mix,Dog,By Jan-31-2019,0.0,0,0.0
0,Lhasa Apso Mix,Dog,By Feb-28-2019,35794.0,1,35794.0
2,Lhasa Apso Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Maine Coon Mix,Cat,By Jan-31-2019,0.0,0,0.0
0,Maine Coon Mix,Cat,By Feb-28-2019,23348.0,1,23348.0
2,Maine Coon Mix,Cat,By Mar-31-2019,0.0,0,0.0
0,Miniature Schnauzer Mix,Dog,By Jan-31-2019,23348.0,2,33403.0
1,Miniature Schnauzer Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Miniature Schnauzer Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Parakeet Mix,Bird,By Jan-31-2019,23348.0,1,23348.0
1,Parakeet Mix,Bird,By Feb-28-2019,0.0,0,0.0
2,Parakeet Mix,Bird,By Mar-31-2019,0.0,0,0.0
0,Pit Bull Mix,Dog,By Jan-31-2019,36641.0,10,44062.0
1,Pit Bull Mix,Dog,By Feb-28-2019,61284.0,16,41747.0
2,Pit Bull Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Pointer Mix,Dog,By Jan-31-2019,45090.0,1,45090.0
1,Pointer Mix,Dog,By Feb-28-2019,36641.0,2,40866.0
2,Pointer Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Pointer/Chinese Sharpei,Dog,By Jan-31-2019,25369.0,1,25369.0
1,Pointer/Chinese Sharpei,Dog,By Feb-28-2019,0.0,0,0.0
2,Pointer/Chinese Sharpei,Dog,By Mar-31-2019,0.0,0,0.0
1,Pomeranian,Dog,By Jan-31-2019,0.0,0,0.0
0,Pomeranian,Dog,By Feb-28-2019,23348.0,1,23348.0
2,Pomeranian,Dog,By Mar-31-2019,0.0,0,0.0
0,Raccoon Mix,Other,By Jan-31-2019,51078.0,1,51078.0
1,Raccoon Mix,Other,By Feb-28-2019,0.0,0,0.0
2,Raccoon Mix,Other,By Mar-31-2019,0.0,0,0.0
0,Rat Terrier Mix,Dog,By Jan-31-2019,23348.0,1,23348.0
1,Rat Terrier Mix,Dog,By Feb-28-2019,23348.0,13,23348.0
2,Rat Terrier Mix,Dog,By Mar-31-2019,23348.0,17,23348.0
0,Schipperke Mix,Dog,By Jan-31-2019,36641.0,1,36641.0
1,Schipperke Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Schipperke Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Shih Tzu Mix,Dog,By Jan-31-2019,25369.0,1,25369.0
1,Shih Tzu Mix,Dog,By Feb-28-2019,51078.0,2,38224.0
2,Shih Tzu Mix,Dog,By Mar-31-2019,0.0,0,0.0
0,Siamese,Cat,By Jan-31-2019,23348.0,2,23348.0
1,Siamese,Cat,By Feb-28-2019,0.0,0,0.0
2,Siamese,Cat,By Mar-31-2019,0.0,0,0.0
0,Siamese Mix,Cat,By Jan-31-2019,38256.0,2,40327.0
1,Siamese Mix,Cat,By Feb-28-2019,0.0,0,0.0
2,Siamese Mix,Cat,By Mar-31-2019,0.0,0,0.0
0,Siberian Husky Mix,Dog,By Jan-31-2019,38256.0,1,38256.0
1,Siberian Husky Mix,Dog,By Feb-28-2019,0.0,0,0.0
2,Siberian Husky Mix,Dog,By Mar-31-2019,0.0,0,0.0
1,Skunk,Other,By Jan-31-2019,0.0,0,0.0
2,Skunk,Other,By Feb-28-2019,0.0,0,0.0
0,Skunk,Other,By Mar-31-2019,68244.0,1,68244.0
0,Snake,Other,By Jan-31-2019,57710.0,1,57710.0
1,Snake,Other,By Feb-28-2019,0.0,0,0.0
2,Snake,Other,By Mar-31-2019,0.0,0,0.0
1,Soft Coated Wheaten Terrier Mix,Dog,By Jan-31-2019,0.0,0,0.0
0,Soft Coated Wheaten Terrier Mix,Dog,By Feb-28-2019,38256.0,1,38256.0
2,Soft Coated Wheaten Terrier Mix,Dog,By Mar-31-2019,0.0,0,0.0
