,index,age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake,lat,long,zipcode,age_upon_outcome,date_of_birth,outcome_datetime,outcome_subtype,outcome_type,sex_upon_outcome,HouseholdIncome
170,192,2 years,A787527,Cat,Domestic Shorthair Mix,Brown Tabby/White,2019-01-14T19:31:00.000,2019-01-14T19:31:00.000,1100 Gunter Street in Austin (TX),Normal,Stray,,Intact Female,30.2631622,-97.6997222,78702,2 years,2017-01-14T00:00:00.000,2019-01-18T11:02:00.000,Snr,Transfer,Intact Female,"$23,348.00"
171,194,15 years,A788902,Cat,Domestic Shorthair Mix,Cream Tabby,2019-02-11T11:03:00.000,2019-02-11T11:03:00.000,Austin (TX),Normal,Owner Surrender,*Shelly,Spayed Female,30.267153,-97.7430608,78702,15 years,2004-02-11T00:00:00.000,2019-03-09T16:53:00.000,,Adoption,Spayed Female,"$23,348.00"
172,195,1 year,A789159,Dog,Pit Bull Mix,Blue/White,2019-02-16T11:43:00.000,2019-02-16T11:43:00.000,Airport Boulevard And North Lamar Boulevard in Austin (TX),Normal,Stray,Bagheera,Intact Male,30.337741,-97.71896079999999,78752,1 year,2018-02-16T00:00:00.000,2019-02-25T18:45:00.000,,Adoption,Neutered Male,"$30,207.00"
173,196,1 year,A789567,Dog,Lhasa Apso Mix,White/Black,2019-02-23T18:56:00.000,2019-02-23T18:56:00.000,Airport Boulevard in Austin (TX),Normal,Stray,Crawford,Neutered Male,30.2902962,-97.70727939999999,78722,1 year,2017-10-22T00:00:00.000,2019-02-27T11:38:00.000,Partner,Transfer,Neutered Male,"$35,794.00"
174,197,4 years,A750942,Dog,Pit Bull Mix,Brown Brindle/White,2019-02-25T12:33:00.000,2019-02-25T12:33:00.000,10002 Rutland Village in Austin (TX),Normal,Stray,Tank,Neutered Male,30.3782884,-97.71025189999999,78758,4 years,2014-06-02T00:00:00.000,2019-03-02T19:18:00.000,,Adoption,Neutered Male,"$42,398.00"
175,198,1 year,A788248,Dog,Labrador Retriever Mix,Black,2019-01-29T11:02:00.000,2019-01-29T11:02:00.000,11300 Samsung Blvd in Austin (TX),Normal,Stray,,Intact Female,30.3620772,-97.6399776,78754,1 year,2018-01-29T00:00:00.000,2019-02-02T13:31:00.000,Partner,Transfer,Intact Female,"$51,810.00"
176,199,1 year,A786870,Dog,Chihuahua Shorthair Mix,Tan,2019-01-03T13:08:00.000,2019-01-03T13:08:00.000,7600 C Tisdale Road in Austin (TX),Normal,Stray,*Englebert,Intact Male,30.3475374,-97.7216636,78757,,,,,,,"$45,090.00"
177,332,1 year,A783623,Dog,Labrador Retriever Mix,White/Tan,2019-01-24T19:09:00.000,2019-01-24T19:09:00.000,Austin (TX),Normal,Owner Surrender,Max,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-11-03T00:00:00.000,2019-01-19T16:54:00.000,,Adoption,Neutered Male,"$23,348.00"
178,332,1 year,A783623,Dog,Labrador Retriever Mix,White/Tan,2019-01-24T19:09:00.000,2019-01-24T19:09:00.000,Austin (TX),Normal,Owner Surrender,Max,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-11-03T00:00:00.000,2019-01-27T12:02:00.000,,Adoption,Neutered Male,"$23,348.00"
179,332,1 year,A783623,Dog,Labrador Retriever Mix,White/Tan,2019-01-24T19:09:00.000,2019-01-24T19:09:00.000,Austin (TX),Normal,Owner Surrender,Max,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-11-03T00:00:00.000,2019-02-17T13:25:00.000,,Adoption,Neutered Male,"$23,348.00"
180,474,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-12T10:21:00.000,2019-02-12T10:21:00.000,1936 East Oltorf Street in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-12T15:20:00.000,,Return to Owner,Neutered Male,"$23,348.00"
181,474,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-12T10:21:00.000,2019-02-12T10:21:00.000,1936 East Oltorf Street in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-18T16:46:00.000,,Return to Owner,Neutered Male,"$23,348.00"
182,474,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-12T10:21:00.000,2019-02-12T10:21:00.000,1936 East Oltorf Street in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-26T19:00:00.000,,Return to Owner,Neutered Male,"$23,348.00"
183,474,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-12T10:21:00.000,2019-02-12T10:21:00.000,1936 East Oltorf Street in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-03-11T16:27:00.000,,Return to Owner,Neutered Male,"$23,348.00"
184,499,1 year,A787425,Dog,Chihuahua Shorthair Mix,Black/White,2019-01-12T18:28:00.000,2019-01-12T18:28:00.000,12135 Thompkins Drive in Austin (TX),Normal,Stray,Michelle,Intact Female,30.267153,-97.7430608,78702,1 year,2018-01-12T00:00:00.000,2019-01-22T17:28:00.000,,Adoption,Spayed Female,"$23,348.00"
185,499,1 year,A787425,Dog,Chihuahua Shorthair Mix,Black/White,2019-01-12T18:28:00.000,2019-01-12T18:28:00.000,12135 Thompkins Drive in Austin (TX),Normal,Stray,Michelle,Intact Female,30.267153,-97.7430608,78702,1 year,2018-01-12T00:00:00.000,2019-02-09T13:29:00.000,,Adoption,Spayed Female,"$23,348.00"
186,1081,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-16T10:30:00.000,2019-02-16T10:30:00.000,1135 Airport Blvd in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-12T15:20:00.000,,Return to Owner,Neutered Male,"$23,348.00"
187,1081,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-16T10:30:00.000,2019-02-16T10:30:00.000,1135 Airport Blvd in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-18T16:46:00.000,,Return to Owner,Neutered Male,"$23,348.00"
188,1081,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-16T10:30:00.000,2019-02-16T10:30:00.000,1135 Airport Blvd in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-26T19:00:00.000,,Return to Owner,Neutered Male,"$23,348.00"
189,1081,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-16T10:30:00.000,2019-02-16T10:30:00.000,1135 Airport Blvd in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-03-11T16:27:00.000,,Return to Owner,Neutered Male,"$23,348.00"
190,1246,2 years,A788622,Dog,Dachshund Mix,Tan,2019-02-15T17:08:00.000,2019-02-15T17:08:00.000,S Ih 35 in Austin (TX),Normal,Public Assist,Gigi,Spayed Female,30.1070851,-97.6946363,78719,2 years,2017-02-05T00:00:00.000,2019-02-09T16:53:00.000,,Adoption,Spayed Female,"$36,480.00"
191,1246,2 years,A788622,Dog,Dachshund Mix,Tan,2019-02-15T17:08:00.000,2019-02-15T17:08:00.000,S Ih 35 in Austin (TX),Normal,Public Assist,Gigi,Spayed Female,30.1070851,-97.6946363,78719,2 years,2017-02-05T00:00:00.000,2019-02-24T20:55:00.000,,Return to Owner,Spayed Female,"$36,480.00"
192,1313,7 years,A760116,Dog,German Shepherd,Brown/Black,2019-02-07T11:45:00.000,2019-02-07T11:45:00.000,Outside Jurisdiction,Normal,Owner Surrender,Jasmine,Spayed Female,30.267153,-97.7430608,78702,7 years,2011-05-11T00:00:00.000,2019-01-10T19:20:00.000,,Adoption,Spayed Female,"$23,348.00"
193,1313,7 years,A760116,Dog,German Shepherd,Brown/Black,2019-02-07T11:45:00.000,2019-02-07T11:45:00.000,Outside Jurisdiction,Normal,Owner Surrender,Jasmine,Spayed Female,30.267153,-97.7430608,78702,7 years,2011-05-11T00:00:00.000,2019-02-09T13:14:00.000,,Adoption,Spayed Female,"$23,348.00"
194,1320,2 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-01-07T14:02:00.000,2019-01-07T14:02:00.000,7201 Levander Loop in Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-01-15T00:00:00.000,,Return to Owner,Neutered Male,"$54,591.00"
195,1320,2 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-01-07T14:02:00.000,2019-01-07T14:02:00.000,7201 Levander Loop in Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-02-07T18:19:00.000,,Return to Owner,Neutered Male,"$54,591.00"
196,1320,2 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-01-07T14:02:00.000,2019-01-07T14:02:00.000,7201 Levander Loop in Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-03-01T14:31:00.000,,Return to Owner,Neutered Male,"$54,591.00"
197,1423,3 months,A787503,Dog,Dachshund Mix,Black/Brown,2019-01-14T15:19:00.000,2019-01-14T15:19:00.000,6113 Turtle Dove Drive in Austin (TX),Normal,Stray,Ace,Intact Male,30.1876303,-97.7419673,78744,3 months,2018-09-29T00:00:00.000,2019-01-15T12:59:00.000,,Return to Owner,Intact Male,"$38,256.00"
198,1423,3 months,A787503,Dog,Dachshund Mix,Black/Brown,2019-01-14T15:19:00.000,2019-01-14T15:19:00.000,6113 Turtle Dove Drive in Austin (TX),Normal,Stray,Ace,Intact Male,30.1876303,-97.7419673,78744,4 months,2018-09-29T00:00:00.000,2019-01-31T17:06:00.000,,Return to Owner,Intact Male,"$38,256.00"
199,1862,3 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-02-21T12:13:00.000,2019-02-21T12:13:00.000,Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-01-15T00:00:00.000,,Return to Owner,Neutered Male,"$54,591.00"
200,1862,3 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-02-21T12:13:00.000,2019-02-21T12:13:00.000,Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-02-07T18:19:00.000,,Return to Owner,Neutered Male,"$54,591.00"
201,1862,3 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-02-21T12:13:00.000,2019-02-21T12:13:00.000,Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-03-01T14:31:00.000,,Return to Owner,Neutered Male,"$54,591.00"
202,2001,4 years,A787054,Dog,Labrador Retriever Mix,Black/White,2019-01-06T11:46:00.000,2019-01-06T11:46:00.000,Ih 35 William Cannon in Austin (TX),Injured,Stray,*Rexx,Neutered Male,30.267153,-97.7430608,78702,4 years,2015-01-07T00:00:00.000,2019-01-20T15:02:00.000,,Adoption,Neutered Male,"$23,348.00"
203,2492,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-03-07T12:02:00.000,2019-03-07T12:02:00.000,1500 Red River in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-12T15:20:00.000,,Return to Owner,Neutered Male,"$23,348.00"
204,2492,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-03-07T12:02:00.000,2019-03-07T12:02:00.000,1500 Red River in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-18T16:46:00.000,,Return to Owner,Neutered Male,"$23,348.00"
205,2492,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-03-07T12:02:00.000,2019-03-07T12:02:00.000,1500 Red River in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-26T19:00:00.000,,Return to Owner,Neutered Male,"$23,348.00"
206,2492,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-03-07T12:02:00.000,2019-03-07T12:02:00.000,1500 Red River in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-03-11T16:27:00.000,,Return to Owner,Neutered Male,"$23,348.00"
207,3668,6 years,A764756,Dog,Beagle Mix,Red/White,2019-03-30T16:29:00.000,2019-03-30T16:29:00.000,Austin (TX),Normal,Public Assist,Paloma,Spayed Female,30.267153,-97.7430608,78702,5 years,2013-01-05T00:00:00.000,2019-01-02T16:18:00.000,,Return to Owner,Spayed Female,"$23,348.00"
208,3668,6 years,A764756,Dog,Beagle Mix,Red/White,2019-03-30T16:29:00.000,2019-03-30T16:29:00.000,Austin (TX),Normal,Public Assist,Paloma,Spayed Female,30.267153,-97.7430608,78702,6 years,2013-01-05T00:00:00.000,2019-04-01T18:19:00.000,,Return to Owner,Spayed Female,"$23,348.00"
