,index,age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake,lat,long,zipcode,age_upon_outcome,date_of_birth,outcome_datetime,outcome_subtype,outcome_type,sex_upon_outcome,HouseholdIncome
46,51,1 year,A789503,Other,Bat Mix,Brown,2019-02-22T23:02:00.000,2019-02-22T23:02:00.000,8Th St in Austin (TX),Normal,Wildlife,,Unknown,30.2657037,-97.72821549999999,78702,1 year,2018-02-22T00:00:00.000,2019-02-23T11:26:00.000,,Disposal,Unknown,"$23,348.00"
47,52,2 years,A786762,Dog,American Pit Bull Terrier Mix,Brown,2019-01-01T15:57:00.000,2019-01-01T15:57:00.000,6910 East Us 290 Highway Service Road Westbound in Austin (TX),Normal,Stray,*Pumba,Intact Male,30.2346862,-97.87314909999999,78735,2 years,2017-01-01T00:00:00.000,2019-01-13T17:41:00.000,,Adoption,Neutered Male,"$75,204.00"
48,53,2 years,A787576,Cat,Siamese,Lynx Point/Tortie Point,2019-01-15T18:24:00.000,2019-01-15T18:24:00.000,Austin (TX),Sick,Owner Surrender,Nilla Bean,Intact Female,30.267153,-97.7430608,78702,2 years,2017-01-15T00:00:00.000,2019-02-03T16:49:00.000,,Adoption,Spayed Female,"$23,348.00"
49,54,17 years,A788795,Cat,Domestic Shorthair Mix,Orange Tabby/White,2019-02-09T11:36:00.000,2019-02-09T11:36:00.000,Austin (TX),Normal,Owner Surrender,Sophie,Intact Female,30.267153,-97.7430608,78702,17 years,2002-02-10T00:00:00.000,2019-03-03T18:03:00.000,,Adoption,Spayed Female,"$23,348.00"
50,55,1 day,A789336,Cat,Domestic Shorthair Mix,Brown Tabby,2019-02-19T18:15:00.000,2019-02-19T18:15:00.000,1088 Park Plaza in Austin (TX),Normal,Stray,,Unknown,30.348747,-97.68395090000001,78753,1 day,2019-02-18T00:00:00.000,2019-02-19T19:06:00.000,Partner,Transfer,Unknown,"$38,206.00"
51,56,1 year,A788376,Cat,Domestic Shorthair Mix,Blue Tabby,2019-02-01T13:31:00.000,2019-02-01T13:31:00.000,8071 North Lamar in Austin (TX),Normal,Stray,Blue,Neutered Male,30.348521,-97.711281,78753,1 year,2017-08-01T00:00:00.000,2019-02-13T17:33:00.000,,Adoption,Neutered Male,"$38,206.00"
52,57,9 years,A685124,Dog,Beagle,Tricolor,2019-01-05T16:59:00.000,2019-01-05T16:59:00.000,11607 James B Connolly Lane in Austin (TX),Normal,Stray,Shilo,Spayed Female,30.1514018,-97.83762399999999,78748,9 years,2009-08-02T00:00:00.000,2019-01-31T13:50:00.000,Foster,Adoption,Spayed Female,"$57,710.00"
53,58,1 year,A788637,Dog,Golden Retriever/Irish Setter,Red,2019-02-06T08:53:00.000,2019-02-06T08:53:00.000,3914 Avenue H in Austin (TX),Normal,Stray,,Intact Male,30.3014011,-97.7296401,78751,1 year,2018-02-06T00:00:00.000,2019-02-10T16:05:00.000,,Adoption,Neutered Male,"$29,779.00"
54,59,2 years,A789904,Dog,German Shepherd Mix,Black/Tan,2019-03-01T15:58:00.000,2019-03-01T15:58:00.000,14719 Us Hwy 290 East in Manor (TX),Normal,Stray,,Intact Female,30.3213503,-97.6938323,78723,2 years,2017-03-01T00:00:00.000,2019-03-10T16:31:00.000,,Adoption,Spayed Female,"$34,242.00"
55,60,6 months,A786883,Cat,Domestic Shorthair Mix,Gray Tabby,2019-01-03T16:09:00.000,2019-01-03T16:09:00.000,1301 Crossing Place Building 4 University Apartments in Austin (TX),Normal,Stray,,Intact Male,30.2368065,-97.711174,78741,6 months,2018-07-03T00:00:00.000,2019-01-05T17:05:00.000,,Return to Owner,Intact Male,"$25,369.00"
56,61,3 years,A786429,Dog,Boxer/Labrador Retriever,Black/White,2019-01-17T13:04:00.000,2019-01-17T13:04:00.000,8800 N Ih 35 in Austin (TX),Normal,Public Assist,Aragon,Intact Male,30.35222559999999,-97.69410859999999,78753,3 years,2015-12-27T00:00:00.000,2019-01-27T19:37:00.000,,Return to Owner,Intact Male,"$38,206.00"
57,64,1 year,A787614,Dog,Pit Bull Mix,Brown/White,2019-01-16T21:53:00.000,2019-01-16T21:53:00.000,6204 Pino Lane in Austin (TX),Normal,Stray,*Mack,Intact Male,30.1870661,-97.7520789,78744,,,,,,,"$38,256.00"
58,66,1 year,A788255,Dog,Catahoula Mix,Tricolor,2019-01-29T12:28:00.000,2019-01-29T12:28:00.000,6311 Burleson Road in Austin (TX),Normal,Stray,*Reggie,Neutered Male,30.2048125,-97.716416,78744,1 year,2018-01-29T00:00:00.000,2019-02-02T16:12:00.000,,Adoption,Neutered Male,"$38,256.00"
59,67,2 months,A786878,Dog,Chihuahua Shorthair Mix,Brown/Black,2019-01-03T15:17:00.000,2019-01-03T15:17:00.000,2306 Tamarisk Circle in Austin (TX),Normal,Stray,,Intact Male,30.1955636,-97.7521744,78744,2 months,2018-10-12T00:00:00.000,2019-01-07T16:47:00.000,,Adoption,Neutered Male,"$38,256.00"
60,68,11 years,A786803,Dog,Golden Retriever Mix,Gold,2019-01-02T11:49:00.000,2019-01-02T11:49:00.000,Granada Hills Drive in Austin (TX),Normal,Stray,Cody,Intact Male,30.2207396,-97.89944179999999,78737,11 years,2008-01-03T00:00:00.000,2019-01-03T16:38:00.000,,Return to Owner,Intact Male,"$87,029.00"
61,69,1 year,A789170,Dog,Cairn Terrier/Dachshund Wirehair,White/Tan,2019-02-16T13:56:00.000,2019-02-16T13:56:00.000,East Stassany Lane And Teri Road in Austin (TX),Normal,Stray,,Intact Female,30.1912336,-97.7311115,78744,1 year,2018-02-16T00:00:00.000,2019-02-20T17:32:00.000,,Adoption,Spayed Female,"$38,256.00"
62,70,1 year,A788937,Cat,Domestic Shorthair Mix,Orange Tabby,2019-02-12T07:24:00.000,2019-02-12T07:24:00.000,West Oak Hill in Austin (TX),Injured,Stray,,Neutered Male,30.2385146,-97.88848809999999,78736,1 year,2017-06-15T00:00:00.000,2019-02-14T14:15:00.000,Partner,Transfer,Neutered Male,"$62,294.00"
63,71,2 days,A788657,Cat,Domestic Shorthair Mix,Orange Tabby,2019-02-06T12:21:00.000,2019-02-06T12:21:00.000,1136 Farmhaven in Austin (TX),Nursing,Stray,,Intact Female,30.3530443,-97.6130999,78754,2 days,2019-02-04T00:00:00.000,2019-02-06T14:18:00.000,Partner,Transfer,Intact Female,"$51,810.00"
64,72,2 months,A788724,Dog,Cairn Terrier Mix,White/Brown Brindle,2019-02-07T15:22:00.000,2019-02-07T15:22:00.000,9200 North Plaza in Austin (TX),Normal,Stray,,Intact Female,30.3544049,-97.6860561,78753,2 months,2018-12-07T00:00:00.000,2019-02-11T18:02:00.000,,Adoption,Spayed Female,"$38,206.00"
65,74,1 year,A787618,Dog,Labrador Retriever Mix,Brown Brindle/White,2019-01-17T09:41:00.000,2019-01-17T09:41:00.000,Stassney And Dove Springs in Austin (TX),Normal,Stray,Luna,Intact Female,30.19387769999999,-97.7568383,78744,1 year,2018-01-17T00:00:00.000,2019-01-25T17:07:00.000,,Adoption,Spayed Female,"$38,256.00"
66,75,1 year,A787525,Cat,Domestic Shorthair,Brown Tabby,2019-01-15T07:37:00.000,2019-01-15T07:37:00.000,12034 Research Blvd in Austin (TX),Injured,Stray,Bethany,Intact Female,30.42535759999999,-97.7529038,78759,1 year,2018-01-14T00:00:00.000,2019-01-15T16:45:00.000,,Return to Owner,Intact Female,"$61,284.00"
